Weapon ID	Name
1000	Sploosh-o-matic
1001	Neo Sploosh-o-matic
1003	?Shot_Msn0Lv0
1004	?Shot_Msn0Lv1
1005	?Shot_Msn0Lv2
1006	?Shot_Msn0Lv3
1012	?Shot_Rvl0Lv0
1007	?Shot_Rvl0Lv1
1008	?Shot_Rvl0Lv2
1009	?Shot_Rvl0Lv3
1002	Sploosh-o-matic 7
1010	Splattershot Jr.
1011	Custom Splattershot Jr.
1020	Splash-o-matic
1021	Neo Splash-o-matic
1030	Aerospray MG
1031	Aerospray RG
1032	Aerospray PG
1040	Splattershot
1041	Tentatek Splattershot
1042	Wasabi Splattershot
1045	Hero Shot Replica
1046	Octoshot Replica
1050	.52 Gal
1051	.52 Gal Deco
1060	N-ZAP '85
1061	N-ZAP '89
1062	N-ZAP '83
1070	Splattershot Pro
1071	Forge Splattershot Pro
1072	Berry Splattershot Pro
1080	.96 Gal
1081	.96 Gal Deco
1090	Dual Squelcher
1091	Custom Dual Squelcher
1100	Jet Squelcher
1101	Custom Jet Squelcher
1110	Luna Blaster
1111	Luna Blaster Neo
1120	Blaster
1121	Custom Blaster
1130	Range Blaster
1131	Custom Range Blaster
1132	Grim Range Blaster
1140	Rapid Blaster
1141	Rapid Blaster Deco
1150	Rapid Blaster Pro
1151	Rapid Blaster Pro Deco
1160	L-3 Nozzlenose
1161	L-3 Nozzlenose D
1170	H-3 Nozzlenose
1171	H-3 Nozzlenose D
1172	Cherry H-3 Nozzlenose
2000	Carbon Roller
2001	Carbon Roller Deco
2002	?Roller_KingSquid
2003	?Roller_Mission
2010	Splat Roller
2011	Krak-On Splat Roller
2012	CoroCoro Splat Roller
2015	Hero Roller Replica
2020	Dynamo Roller
2021	Gold Dynamo Roller
2022	Tempered Dynamo Roller
2030	Inkbrush
2031	Inkbrush Nouveau
2032	Permanent Inkbrush
2040	Octobrush
2041	Octobrush Nouveau
3000	Slosher
3001	Slosher Deco
3002	Soda Slosher
3010	Tri-Slosher
3011	Tri-Slosher Nouveau
3020	Sloshing Machine
3021	Sloshing Machine Neo
3022	?BigBall_SpecAdjust01
3023	?BigBall_SpecAdjust02
4000	 Classic Squiffer
4001	New Squiffer
4002	Fresh Squiffer
4010	Splat Charger
4011	Kelp Splat Charger
4012	Bento Splat Charger
4015	Hero Charger Replica
4016	?Charge_Mission
4020	Splatterscope
4021	Kelp Splatterscope
4022	Bento Splatterscope
4030	E-Litre 3K
4031	Custom E-Litre 3K
4040	E-Litre 3K Scope
4041	Custom E-Litre 3K Scope
4050	Bamboozler 14 Mk I
4051	Bamboozler 14 Mk II
4052	Bamboozler 14 Mk III
5000	Mini Splatling
5001	Zink Mini Splatling
5002	Refurbished Mini Splatling
5010	Heavy Splatling
5011	Heavy Splatling Deco
5012	Heavy Splatling Remix
5020	Hydra Splatling
5021	Custom Hydra Splatling
